;city;PC6;Homes_Passed;ACTIVE_CUSTOMERS_Resi;ACTIVE_CUSTOMERS_Soho;;;;;
;DELFT;2612BM;15;8;0;;;;;
;DELFT;2612BS;26;15;1;;;;;
;DELFT;2612CA;45;22;2;;;;;
;DELFT;2612CB;22;10;2;;;;;
;DELFT;2612CN;2;1;0;;;;;
;DELFT;2612CP;2;0;0;;;;;
;DELFT;2612CR;4;0;0;;;;;
;DELFT;2612CT;2;0;0;;;;;
;DELFT;2612EA;3;1;2;;;;;
;DELFT;2612EC;25;18;0;;;;;
;DELFT;2612EE;14;5;0;;;;;
;DELFT;2612EG;4;3;0;;;;;
;DELFT;2612EH;24;12;2;;;;;
;DELFT;2612EJ;6;5;0;;;;;
;DELFT;2612EK;15;13;0;;;;;
;DELFT;2612EL;17;7;3;;;;;
;DELFT;2612EM;19;10;0;;;;;
;DELFT;2612EV;38;21;0;;;;;
;DELFT;2612EX;36;16;0;;;;;
;DELFT;2612GD;12;6;1;;;;;
;DELFT;2612GK;15;10;0;;;;;
;DELFT;2612GM;3;3;0;;;;;
;DELFT;2612GR;37;22;0;;;;;
;DELFT;2612GS;5;3;0;;;;;
;DELFT;2612GW;18;7;0;;;;;
;DELFT;2612HD;22;13;2;;;;;
;DELFT;2612HK;24;6;0;;;;;
;DELFT;2612HM;18;12;1;;;;;
;DELFT;2612HN;15;10;0;;;;;
;DELFT;2612HR;50;9;0;;;;;
;DELFT;2612HS;24;11;1;;;;;
;DELFT;2612JA;24;14;0;;;;;
;DELFT;2612JB;18;8;0;;;;;
;DELFT;2612JC;18;8;0;;;;;
;DELFT;2612JE;17;12;1;;;;;
;DELFT;2612JG;24;10;0;;;;;
;DELFT;2612JH;18;11;0;;;;;
;DELFT;2612JJ;18;9;0;;;;;
;DELFT;2612JL;12;9;0;;;;;
;DELFT;2612JP;9;5;2;;;;;
;DELFT;2612JT;4;3;0;;;;;
;DELFT;2612JV;4;3;0;;;;;
;DELFT;2612JX;29;11;0;;;;;
;DELFT;2612JZ;65;34;0;;;;;
;DELFT;2612KD;19;11;1;;;;;
;DELFT;2612KK;17;7;2;;;;;
;DELFT;2612KL;25;12;0;;;;;
